Category,Browser,Global Super Group description,Global Product Group description,Global Module Description,Exception Type,Global Category,External Code,Work Item Scope,Seq,Standard Code,Code Type,External Code Group,Processing Group Code,Processing Group Description,Processing Group Set Description,Country,Source of Exception,Best Received External Description,Translated Best Received External Description,Best Existing External Description,Translated Best Existing External Description,Department Code,Department Description,Supplier Code,Supplier Description,Number of Stores Selling,Impact,Price,Retailer SKU,etailer Item Code,Store Receipt Description,Predicted Barcode,URL,Received Date,Due Date,Current Assignment Description,Country Current Assignment Description,External Item/Predicted PG/CI,External Item/Predicted Product Class,Latest Image Received Date,Sent for RTC Prediction,Priority,Reserved By,Allocated To,Defer,Has Image,Project,External Item Global Category,External Item Global Module,Local Id,Allocated Date
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT COOKED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'021834700000,LOCAL,3,'00021834700000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,BAKING HENS,,BAKING HENS,,0240,SALVAGE,,WGT,1,6.05,6.05,,,,,,24-NOV-2022 19:49:38,,29960969 : N BRND LSTD ENTR BKD CHCKN   N PCKG 1 PND ,29960969 : N BRND LSTD ENTR BKD CHCKN   N PCKG 1 PND ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,GARDEN & FLORA,BULBS/FLOWERS/PLANTS/SEEDS,PLANTS - GROWING,Changed,GARDEN & FLORA,'000000002501,LOCAL,4,'00000000002501,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,WILD ABOUT WASABI MIX,,WILD ABOUT WASABI MIX,,0100,1    LB,,WGT,1,7.46,8.988,,,,,,24-NOV-2022 19:49:15,,548935346 : N BRND LSTD FLWR BQT RS N PCKG 1 CNT ,548935346 : N BRND LSTD FLWR BQT RS N PCKG 1 CNT ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,FRUIT/NUTS - FRESH FIXED WEIGHT,FRUIT - CITRUS - FRESH FIXED WEIGHT,Changed,FRUIT - FRESH,'003338314605,LOCAL,10,'00003338314605,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,SATSUMAS-BESTIES,,SATSUMAS-BESTIES,,0310,3    EA,,CNT,18,964.62,6.99,,,,,,24-NOV-2022 19:53:06,,559354169 : OCN SPRY OPPY SNGL FRT IMPRTD   CLMNTN MNDRN BG 1 CNT      ,559354169 : OCN SPRY OPPY SNGL FRT IMPRTD   CLMNTN MNDRN BG 1 CNT      ,,,08/20/2018,FALSE,2,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021737400000,LOCAL,1,'00021737400000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,WHOLE ORGANIC TURKEY HEN,,,,0250,SALVAGE,,WGT,5,645.9,5.99,,,,,,24-NOV-2022 19:52:33,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,VEGETABLES/SALAD VEGETABLES - FRESH VARIABLE WEIGHT,VEGETABLES/SALAD VEGETABLES FRESH VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000004769,LOCAL,3,'00000000004769,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,GRN SQUASH KAB,,GRN SQUASH KAB,,0320,1    LB,,WGT,1,2.4,1.4907,,,,,,24-NOV-2022 19:53:51,,29239336 : MLTPL VL SNGL VGTBL KBCH SQSH     N PCKG 1 CNT ,29239336 : MLTPL VL SNGL VGTBL KBCH SQSH     N PCKG 1 CNT ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,ZZ: CUTOVER TEMPORARY STANDARD/CONSOLIDATED ITEMS,CUTOVER TEMP STANDARD/CONSOLIDATED,US CUTOVER STANDARD,Changed,,'021501000000,LOCAL,10,'00021501000000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,VALUE FAMILY PACK BNLS BREASTS,,VALUE FAMILY PACK BNLS BREASTS,,0240,SALVAGE,,WGT,80,32884.22,4.1753,,,,,,24-NOV-2022 19:54:23,,506269340 : N BRND LSTD MSCLLNS FRSH N PCKG 1 PND ,506269340 : N BRND LSTD MSCLLNS FRSH N PCKG 1 PND ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'025122700000,LOCAL,1,'00025122700000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,ARROZ (MEXICAN RICE) HOT,,,,0480,SALVAGE,,WGT,1,3.5,3.9773,,,,,,24-NOV-2022 19:52:22,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,FRUIT/NUTS - FRESH VARIABLE WEIGHT,FRUIT FRESH - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000004136,LOCAL,5,'00000000004136,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,WASH GOLD DEL APPLE,,WASH GOLD DEL APPLE,,0310,1    LB,,WGT,6,48.51,2.7314,,,,,,24-NOV-2022 19:54:24,,29339396 : MLTPL VL SNGL FRT GLDN DLCS APPL   N PCKG 1 PND ,29339396 : MLTPL VL SNGL FRT GLDN DLCS APPL   N PCKG 1 PND ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000002499,LOCAL,1,'00000000002499,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,SO GOUDA KETO TRIO,,,,0100,1    LB,,WGT,1,5.28,12,,,,,,24-NOV-2022 19:49:53,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,HOME ENTERTAINMENT,:HOME ENTERTAINMENT CONSOLIDATED PG:,:HOME ENTERTAINMENT CONSOLIDATED ITEM:,Changed,,'000000005238,LOCAL,2,'00000000005238,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,Visa/MC CD Fee $1.95,,Visa/MC CD Fee $1.95,,0199,,,CNT,1,7.95,7.95,,,,,,24-NOV-2022 19:50:06,,27828806 : PRERECORDED AUDIO PRODUCT ,27828806 : PRERECORDED AUDIO PRODUCT ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,ZZ: TEMPORARY MDL STANDARD/CONSOLIDATED ITEMS,US MDL STANDARD/CONSOLIDATED ITEMS,US MDL CONSOLIDATED,Changed,,'025929600000,LOCAL,2,'00025929600000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,CHOCOLATE COVERED PEANUTS,,CHOCOLATE COVERED PEANUTS,,0440,SALVAGE,,WGT,1,14.54,7.27,,,,,,24-NOV-2022 19:51:10,,507010408 : US MDL CNSLDTD ,507010408 : US MDL CNSLDTD ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT UNCOOKED UNPREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'020194300000,LOCAL,4,'00020194300000,LAC,LAC,BGY,BGY BIG Y FOOD,ALL_US,UNITED STATES OF AMERICA,SIRVAL,GLATT RIB EYE STEAK BONE IN 1LB,,GLATT RIB EYE STEAK BONE IN 1LB,,,MEAT KOSHER MEAT,,WGT,1,64.32,14.993,,,,,,24-NOV-2022 19:48:35,,30578540 : GLTT PRVSN HS FRSH AND FRZN MT  BN IN SKNLSS   ANGS BF RB EY STK N PCKG 1 PND ,30578540 : GLTT PRVSN HS FRSH AND FRZN MT  BN IN SKNLSS   ANGS BF RB EY STK N PCKG 1 PND ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'020184900000,LOCAL,1,'00020184900000,LAC,LAC,BGY,BGY BIG Y FOOD,ALL_US,UNITED STATES OF AMERICA,SIRVAL,BH APPLEWOOD SPIRAL HAM 1LB,,,,,MEAT MEAT,,WGT,4,247.68,8.9902,,,,,,24-NOV-2022 19:48:29,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT UNCOOKED UNPREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'020121100000,LOCAL,6,'00020121100000,LAC,LAC,BGY,BGY BIG Y FOOD,ALL_US,UNITED STATES OF AMERICA,SIRVAL,BNLS CROWN ROAST PORK******* 1LB,,BNLS CROWN ROAST PORK******* 1LB,,,MEAT BUTCHER SHOPPE,,WGT,1,8.21,5.4733,,,,,,24-NOV-2022 19:48:24,,506512921 : N BRND LSTD FRSH AND FRZN MT  BNLSS   PRK CRWN RST N PCKG 1 PND ,506512921 : N BRND LSTD FRSH AND FRZN MT  BNLSS   PRK CRWN RST N PCKG 1 PND ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,ZZ: TEMPORARY MDL STANDARD/CONSOLIDATED ITEMS,US MDL STANDARD/CONSOLIDATED ITEMS,US MDL CONSOLIDATED,Changed,,'000000007495,LOCAL,4,'00000000007495,LAC,LAC,BGY,BGY BIG Y FOOD,ALL_US,UNITED STATES OF AMERICA,SIRVAL,BSKT/P.C. @ $15.99 1CT,,BSKT/P.C. @ $15.99 1CT,,,FLORAL FLORAL,,CNT,1,15.99,15.99,,,,,,24-NOV-2022 19:48:34,,507010408 : US MDL CNSLDTD ,507010408 : US MDL CNSLDTD ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,HOMECARE MERCHANDISE,HOUSEHOLD NON-CLEANING HARDWARE,STORAGE CONTAINERS - HOUSEHOLD,Changed,HOMECARE MERCHANDISE,'000000004835,LOCAL,3,'00000000004835,LAC,LAC,BGY,BGY BIG Y FOOD,ALL_US,UNITED STATES OF AMERICA,SIRVAL,WOODEN APPLE CRATES 1CT,,WOODEN APPLE CRATES 1CT,,,PRODUCE MISCELLANEOUS,,CNT,1,16.99,16.99,,,,,,24-NOV-2022 19:48:34,,527543512 : BRND NT AVLBL STRG CRT WDN PCKG NT AVLBL 1 CNT ,527543512 : BRND NT AVLBL STRG CRT WDN PCKG NT AVLBL 1 CNT ,,,,FALSE,2,,,,N,,,,,
Business As Usual,Cross Coding,GARDEN & FLORA,BULBS/FLOWERS/PLANTS/SEEDS,PLANTS - GROWING,Changed,GARDEN & FLORA,'000000007411,LOCAL,5,'00000000007411,LAC,LAC,BGY,BGY BIG Y FOOD,ALL_US,UNITED STATES OF AMERICA,SIRVAL,FLOWERNG UPGRADE $11.99 1CT,,FLOWERNG UPGRADE $11.99 1CT,,,FLORAL FLORAL,,CNT,2,239.8,11.99,,,,,,24-NOV-2022 19:48:38,,523338261 : N BRND LSTD FLWR FLWRNG UPGRD N PCKG 1 CNT ,523338261 : N BRND LSTD FLWR FLWRNG UPGRD N PCKG 1 CNT ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,STATIONERY & PRINTED MATERIAL & SERVICES,:STATIONERY & PRINTED MATERIAL & SERVICES CONSOLIDATED PG:,:STATIONERY & PRINTED MATERIAL & SERVICES CONSOLIDATED ITEM:,Changed,,'000000007929,LOCAL,3,'00000000007929,LAC,LAC,BGY,BGY BIG Y FOOD,ALL_US,UNITED STATES OF AMERICA,SIRVAL,CONFETTI DOTS 1CT,,CONFETTI DOTS 1CT,,,FLORAL FLORAL,,CNT,1,1.99,1.99,,,,,,24-NOV-2022 19:48:36,,27828825 : HOLIDAY PARTY DCRTN AND FVR ,27828825 : HOLIDAY PARTY DCRTN AND FVR ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,GARDEN & FLORA,BULBS/FLOWERS/PLANTS/SEEDS,PLANTS - GROWING,Changed,GARDEN & FLORA,'000000007583,LOCAL,4,'00000000007583,LAC,LAC,BGY,BGY BIG Y FOOD,ALL_US,UNITED STATES OF AMERICA,SIRVAL,4 IN PRIMROSE 1CT,,4 IN PRIMROSE 1CT,,,FLORAL FLORAL,,CNT,1,2.99,2.99,,,,,,24-NOV-2022 19:51:59,,509246185 : BRND NT AVLBL PLNT PRMRS PCKG NT AVLBL 1 CNT ,509246185 : BRND NT AVLBL PLNT PRMRS PCKG NT AVLBL 1 CNT ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT UNCOOKED UNPREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'020151900000,LOCAL,5,'00020151900000,LAC,LAC,BGY,BGY BIG Y FOOD,ALL_US,UNITED STATES OF AMERICA,SIRVAL,CHOICE BNLS TOP SIRLOIN******* 1LB,,CHOICE BNLS TOP SIRLOIN******* 1LB,,,MEAT BUTCHER SHOPPE,,WGT,1,13.91,6.9899,,,,,,24-NOV-2022 19:53:40,,38572246 : N BRND LSTD FRSH AND FRZN MT     BF TP SRLN N PCKG 1 PND ,38572246 : N BRND LSTD FRSH AND FRZN MT     BF TP SRLN N PCKG 1 PND ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,BREAD - FRESH VARIABLE WEIGHT,BREAD FRESH VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'024174600000,LOCAL,6,'00024174600000,LAC,LAC,BGY,BGY BIG Y FOOD,ALL_US,UNITED STATES OF AMERICA,SIRVAL,SLICED SOURDOUGH BREAD 14.5OZ,,SLICED SOURDOUGH BREAD 14.5OZ,,,BAKERY BREADS,,CNT,57,2633.8,5.065,,,,,,24-NOV-2022 19:50:15,,550961380 : FLL CRCL BRD   SRDGH BL SLCD TRY 1 CNT ,550961380 : FLL CRCL BRD   SRDGH BL SLCD TRY 1 CNT ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,ZZ: CUTOVER TEMPORARY STANDARD/CONSOLIDATED ITEMS,CUTOVER TEMP STANDARD/CONSOLIDATED,US CUTOVER STANDARD,Changed,,'000000007632,LOCAL,3,'00000000007632,LAC,LAC,BGY,BGY BIG Y FOOD,ALL_US,UNITED STATES OF AMERICA,SIRVAL,HOLIDAY BASKET 1CT,,HOLIDAY BASKET 1CT,,,FLORAL FLORAL,,CNT,1,19.99,19.99,,,,,,24-NOV-2022 19:51:37,,506269347 : N BRND LSTD MSCLLNS FRSH N PCKG 1 CNT ,506269347 : N BRND LSTD MSCLLNS FRSH N PCKG 1 CNT ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT UNCOOKED UNPREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'020161100000,LOCAL,5,'00020161100000,LAC,LAC,BGY,BGY BIG Y FOOD,ALL_US,UNITED STATES OF AMERICA,SIRVAL,SB HOTEL TURKEY BREAST 1LB,,SB HOTEL TURKEY BREAST 1LB,,,MEAT CHICKEN,,WGT,2,76.21,2.6901,,,,,,24-NOV-2022 19:53:52,,546527449 : SHDY BRK FRMS FRSH AND FRZN MT     TRKY BRST N PCKG 1 PND ,546527449 : SHDY BRK FRMS FRSH AND FRZN MT     TRKY BRST N PCKG 1 PND ,,,,FALSE,1,,,,N,,,,,
